dist on line,depth,sensor,instrument type,SN,possible depth offset
1,39.6,t,RBR Solo,76608,
6,44.6,chi,,614,
8.5,47.1,ctd,SBE37,4923,
11,49.6,chi,,615,
13.5,52.1,t,RBR Solo,76611,
18.5,57.1,t,SBE56,6439,
21,59.6,chi,,616,
23.5,62.1,t,RBR Solo,72167,
28.5,67.1,t,SBE56,6435,
31,69.6,chi,,617,
33.5,72.1,t,RBR Solo,72146,
38.5,77.1,t,SBE56,413,
41,79.6,chi,,618,
43.5,82.1,t,RBR Solo,72180,
48.5,87.1,t,SBE56,6414,
51,89.6,chi,,619,
53.5,92.1,t,RBR Solo,72187,
58.5,97.1,t,SBE56,395,
61,99.6,chi,,620,
63.5,102.1,t,RBR Solo,72210,
68.5,107.1,t,SBE56,6420,
,110,t,SBE56,6447,
3.5,117,t,RBR Solo,72186,
6,119.5,chi,,621,
8.5,122,t,SBE56,425,-2
16,129.5,t,RBR Solo,72194,
23.5,137,t,RBR Solo,72206,
26,139.5,chi,,622,
28.5,142,t,SBE56,6426,
36,149.5,t,RBR Solo,72202,8
44.5,158,t,RBR Solo,72196,
46,159.5,chi,,623,
48.5,162,t,SBE56,6421,
56,169.5,ctd,SBE37,2864,
63.5,177,t,RBR Solo,72158,-7
66,179.5,chi,,624,
68.5,182,t,SBE56,5462,-2
83.5,197,t,RBR Solo,72147,
86,199.5,chi,,625,
88.5,202,t,SBE56,6413,-2
103.5,217,t,RBR Solo,72175,
106,219.5,chi,,626,
108.5,222,t,SBE56,6417,
123.5,237,t,RBR Solo,72159,
126,239.5,chi,,627,
128.5,242,t,RBR Solo,72215,
143.5,257,t,SBE56,6428,
146,259.5,chi,,628,
148.5,262,t,RBR Solo,72178,
173.5,287,t,SBE56,6437,
176,289.5,chi,,629,
178.5,292,t,RBR Solo,72164,
203.5,317,t,SBE56,455,
206,319.5,chi,,630,
208.5,322,t,RBR Solo,72216,
238.5,352,t,RBR Solo,72161,
241,354.5,chi,,631,
243.5,357,t,SBE56,422,
288.5,402,t,RBR Solo,72155,
291,404.5,chi,,632,
293.5,407,t,SBE56,6432,
316,429.5,ctd,SBE37,12710,
338.5,452,t,RBR Solo,72160,
341,454.5,chi,,633,
343.5,457,t,SBE56,6429,
393.5,507,t,RBR Solo,72214,
443.5,557,t,RBR Solo,72153,
493.5,607,t,RBR Solo,72152,
543.5,657,t,SBE56,6445,
593.5,707,ctd,SBE37,12711,
0,820.5,adcp,LR,13481,
7,830.3,t,RBR Solo,72219,
207,1030.3,t,RBR Solo,72149,
357,1180.3,t,RBR Solo,72208,
507,1330.3,t,RBR Solo,72183,
,2445,t,RBR Solo,72174,
,2850,ctd,SBE37,12712,
